sampid,fromWhen,gender,yob,b153,b153z,b154,b156,b156z,b157,b158,b159,b160,b308,b162,b163,b166,b169,b184,b220,b221,b222,b223,b224,b225,b228,b241,b242,b243,b244,b245,b276,b277
8562,2011.0,1.0,1983.0,292.0,3.0,3.0,1511.0,1.0,405.0,1.0,9.0,9.0,,,,,1.0,,40.0,1.0,5.0,0.0,1.0,4500.0,5.0,4.0,5.0,4.0,4.0,5.0,1.0,3.0
8563,2010.0,1.0,1981.0,701.0,13.0,1.0,1312.0,1.0,101.0,1.0,5.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,5000.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,
8564,2017.0,1.0,1989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8565,2008.0,1.0,1985.0,753.0,14.0,3.0,5419.0,5.0,816.0,1.0,5.0,7.0,,,3.0,,1.0,,45.0,0.0,5.0,0.0,2.0,130.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,
8566,2008.0,2.0,1986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8569,2010.0,1.0,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8571,2009.0,2.0,1981.0,852.0,16.0,3.0,2121.0,2.0,815.0,5.0,5.0,5.0,,,,,1.0,,50.0,2.0,5.5,0.0,2.0,250.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,
8572,2010.0,1.0,1979.0,861.0,17.0,1.0,3012.0,3.0,410.0,1.0,7.0,7.0,,,,,1.0,,70.0,0.0,7.0,0.0,2.0,250.0,4.0,3.0,4.0,4.0,5.0,5.0,1.0,2.0
8574,2018.0,1.0,1992.0,582.0,10.0,2.0,1343.0,1.0,123.0,1.0,4.0,5.0,,,,,1.0,,45.0,10.0,5.0,0.0,2.0,180.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,
8575,2008.0,1.0,1986.0,729.0,13.0,2.0,1585.0,1.0,1501.0,1.0,5.0,4.0,,,,,1.0,,60.0,10.0,5.5,0.0,2.0,180.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,
8577,2008.0,2.0,1980.0,855.0,16.0,1.0,2141.0,2.0,101.0,1.0,1.0,1.0,,,,,1.0,,37.0,0.0,6.0,0.0,2.0,200.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,
8579,2010.0,2.0,1987.0,861.0,17.0,3.0,3040.0,3.0,812.0,1.0,6.0,8.0,,,,,1.0,,40.0,10.0,5.0,1.0,2.0,200.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,
8580,2007.0,1.0,1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8583,2012.0,1.0,1983.0,732.0,13.0,1.0,4155.0,4.0,404.0,1.0,1.0,1.0,,,1.0,,1.0,,70.0,0.0,5.0,0.0,2.0,200.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,
8585,2012.0,1.0,1987.0,701.0,13.0,3.0,1531.0,1.0,1513.0,3.0,5.0,7.0,,,,,1.0,,40.0,0.0,5.0,0.0,1.0,4000.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,
8586,2014.0,2.0,1990.0,861.0,17.0,1.0,3061.0,3.0,702.0,4.0,7.0,7.0,,,,,1.0,1.0,40.0,0.0,5.0,0.0,2.0,240.0,4.0,3.0,4.0,3.0,4.0,5.0,1.0,2.0
8587,2012.0,2.0,1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8588,2014.0,2.0,1987.0,845.0,15.0,3.0,295.0,0.0,213.0,5.0,5.0,9.0,,,,,1.0,,40.0,0.0,5.0,0.0,2.0,150.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,
8591,2010.0,1.0,1983.0,701.0,13.0,2.0,3020.0,3.0,818.0,3.0,5.0,9.0,,,,,1.0,,45.0,1.0,5.0,0.0,1.0,2400.0,3.0,1.0,4.0,2.0,4.0,3.0,1.0,3.0
8593,2013.0,2.0,1989.0,562.0,9.0,1.0,5317.0,5.0,503.0,1.0,2.0,2.0,,,,,1.0,,60.0,0.0,6.0,0.0,2.0,160.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,
