시도,행정구,삶의 만족도,1인당 GRDP,신혼부부수_스케일링,신혼부부수,평균 자살율,평균 소득,미술관,도서관,박물관,인당_기관수_스케일링,청년인구당_기관수_스케일링,인당_학원수_스케일링,인당_초/중/고_개수,학생당_학교수,공원수,평균공원면적,공원시설통합num평균,평균년도,응급실병상수 총합,병원,보건소,보건의료원,보건지소,보건진료소,상급종합,약국,요양병원,의원,정신병원,조산원,종합병원,치과병원,치과의원,한방병원,한의원
서울,마포구,0.6487,5574,0.516705043,7667,15.9,41376,,,,0.0766820282,0.0735932239,0.471378261,0.000203840465,0.00225341819,89,12384.21685,0,1992.58427,1.64546756,1.371222966,0.274244593,0,0,0,0,53.75194028,0.82273378,105.3099238,0,0,0,0.82273378,53.75194028,0.82273378,40.8624444
서울,양천구,0.6845,1642,0.305329763,7023,15.6,42833,,,,0,0,0.741733098,0.00023539892,0.00181753386,96,23524.04271,0,1987.489583,12.02138446,0.907274299,0.226818575,0,0,0,0.226818575,40.60052486,0.680455724,68.27239096,0,0,0.453637149,0.680455724,40.82734343,0.907274299,33.56914904
서울,강서구,0.3646,3024,0.587807015,12737,17.8,38545,1,9,3,0.124423646,0.142918779,0.359000822,0.000239570204,0.00261483823,151,21690.74901,1.629139073,1989.545455,8.960479017,2.986826339,0.175695667,0,0,0,0,46.38365609,0.878478335,77.30609348,0.175695667,0,0.702782668,0.527087001,41.81556874,1.405565336,33.03078539
서울,구로구,0.4386,3284,0.620587703,9182,18.5,35145,,,,0.107022085,0.126829657,0.286871087,0.00022554329,0.00252619492,62,20735.7579,2.064516129,1992.370968,13.40702984,2.023702617,0.252962827,0,0.252962827,0,0.252962827,46.79812302,2.023702617,70.82959159,0.252962827,0,0.252962827,0.252962827,43.00368061,0.505925654,27.57294816
서울,금천구,0.1707,6967,0.538310091,4901,23.4,33385,,,,0,0,0.231928593,0.000224994706,0.00328608247,52,2809.409615,4.403846154,1978.807692,4.354604123,1.741841649,0.435460412,0,0,0,0,54.43255154,1.741841649,70.54458679,0.435460412,0,0.435460412,0,45.72334329,1.741841649,30.04676845
서울,영등포구,0.6637,9814,0.706883799,9578,15.9,39718,1,6,2,0.0371131079,0.0446146723,0.325779397,0.000223976109,0.00283898878,50,5489.97,3.4,1985.72,30.07919079,2.395687762,0.266187529,0,0,0,0,68.41019498,2.395687762,97.95701071,0.266187529,0,1.863312704,0,60.69075664,0.798562587,38.33100419
서울,동작구,0.6413,1720,0.435482216,7276,15,38827,,,,0.147163807,0.134770033,0.369281443,0.000200886013,0.00238963652,52,48473.58846,0,1986.134615,18.65495171,1.050983195,0.262745799,0,0,0,0.262745799,47.81973536,0.525491597,70.15312825,0,0,0.262745799,0.525491597,43.87854838,0.262745799,33.10597064
서울,관악구,0.2257,1236,0.317373118,7933,19.1,34536,1,5,2,0.0289287013,0.0254532357,0.220335124,0.000184975423,0.0030989937,77,5769.493506,2.298701299,1976.662338,8.217737164,2.465321149,0.205443429,0,0,0,0,44.99211097,0.410886858,69.43987903,0,0,0.205443429,0.205443429,40.88324239,0.821773716,28.35119322
서울,서초구,0.9259,9460,0.333093955,6866,15.4,59153,5,10,4,0.136659434,0.140536957,0.704757202,0.000191456147,0.0014315604,137,100907.7807,0,,10.14035739,3.215235269,0.24732579,0,0.49465158,0,0.24732579,63.81005379,0.98930316,189.9462066,0,0,0.24732579,1.236628949,73.70308539,1.483954739,60.59481852
서울,강남구,0.7945,14848,0.215570237,7860,21.5,59899,4,15,8,0.0250083547,0.0262701363,1,0.000213809584,0.00157944335,133,15280.92632,2.248120301,,18.71094798,6.047983187,0.188999475,0,0,0,0.377998949,90.15274938,1.322996322,330.7490805,0,0,0.377998949,2.267993695,96.01173309,1.700995271,65.96081663
