account,post_num,post_date,text,num_likes,real_tags,year,month,year_month
cgv_korea,3199,2015-08-05,"['cgv_korea', 'CGV와 KAKAO FRIENDS가 만나 어마무시한 아이들이 탄생했어요🙊 무비스타로 변신한 카카오 프렌즈를 #포토티켓앨범, #무비패스, #포토티켓패스, 귀요미 #틴케이스 로 만나보세요🙊 오직 CGV에서만 판매한다고 하니 포친 여러분도 서두르세요~!(덕후가 무슨 힘이있나요... 저도 ""요다x어피치 틴케이스"" 사러 출발~💃) *판매극장은 CGV홈페이지에서 확인!', '#CGV #카카오프렌즈 #콜라보 #포토티켓 #한정판', '#카카오 #네오 #무지 #카톡 #포티', '#덕후장사 #물들어올때노젓자 #어차피_살_포티앨범이라면... #좋은건쟁여두고쓰자']",227,"['#포토티켓앨범,', '#무비패스,', '#포토티켓패스,', '#틴케이스', '#CGV', '#카카오프렌즈', '#콜라보', '#포토티켓', '#한정판', '#카카오', '#네오', '#무지', '#카톡', '#포티', '#덕후장사', '#물들어올때노젓자', '#어차피_살_포티앨범이라면...', '#좋은건쟁여두고쓰자']",2015,8,2015-08
cgv_korea,3198,2015-08-20,"['cgv_korea', '백감독님이 직접 제작한 #뷰티인사이드 서프라이즈 포티- 이건 정말 #갠소 해야함🙊', '', '여러분만의 감성돋는 <뷰티 인사이드> 포티 인증샷을 #사랑해오늘어떤모습이든 해시태그로 인스타그램에 올려주세요💕', '', 'Tip : CGV 홈페이지에서 다운받을 수 있는 백감독님 버전으로 인증 시 당첨 확율이 up~!up~! ><', '#옆모습 #들어가감기걸리겠다 #8월20일둘은만난다 #얼굴에그렇게썼다 #로맨스가시작된다']",207,"['#뷰티인사이드', '#갠소', '#사랑해오늘어떤모습이든', '#옆모습', '#들어가감기걸리겠다', '#8월20일둘은만난다', '#얼굴에그렇게썼다', '#로맨스가시작된다']",2015,8,2015-08
cgv_korea,3197,2015-09-09,"['cgv_korea', '포친 여러분', '9/14(월)이 어떤날인지 아시나요?', ""바로 '포토데이' 랍니다~! 포토데이를 맞이하여,"", '포토 앨범&액자 HOT DEAL 소식을 전합니다.', '(9월에 포티를 만들면, 누구나 할인 혜택을 받을 수 있다는 점)', '', '포티지기도 평소에 눈여겨봤던', '카카오 포토 앨범 장만하려구요. :-)', '여러분도 9월엔 포토티켓하세요~!', '자세한 내용은 CGV앱에서 확인하세요-!']",170,[],2015,9,2015-09
cgv_korea,3196,2015-09-25,"['cgv_korea', '포티 매니아라면,', '소중히 모아뒀던 CJ ONE 포인트를', '탈탈 털어야 할 절호의 찬스! 털업~!', 'CGV App> 이벤트> 포토티켓 반값할인', '', '#CGV #포토티켓 #CJONE #원포인트탕진잼']",181,"['#CGV', '#포토티켓', '#CJONE', '#원포인트탕진잼']",2015,9,2015-09
cgv_korea,3195,2015-10-20,"['cgv_korea', '오래 기다리셨죠?♥', '기존에 온라인 예매 영화만 가능했던', '포토티켓 서비스가', '오늘부터! 매표소/티켓판매기 발권영화까지', '확대되어 제공되어요~! ^^', '지금, 포토티켓앱을 1.1.7버전으로', '업그레이드하면 바로 이용하실 수 있어요-!', '단, 예매 시 CJ ONE 인증은 필수입니다 :-)']",202,[],2015,10,2015-10
cgv_korea,3194,2015-11-30,"['cgv_korea', '올해 만든 여러분의 포토티켓을 자랑해주세요 #포토티켓연말결산']",354,['#포토티켓연말결산'],2015,11,2015-11
cgv_korea,3193,2016-03-07,"['cgv_korea', '안녕?난 새로운 CGV 인스타지기 ○○○(이)야!', '내가 누군지 아는 사람?! 손!!✋', '내 이름 맞히는 사람한테는 선물을 줄게♥', '-', '', '아래 보기 중에 내 이름을 골라봐! 퀴즈, 시~작!!!', '<보기> ①팝구니 ②팝수니 ③파코니 ④팝푼이 ⑤팝핀이', '""내 진짜 모습은 다음 주에 공개된다능~! COMING SOON""', '---------------------------------------------------', '■참여방법 : @cgv_korea 팔로잉하고 댓글로 정답 맞추기(~3/13)', '■당첨경품 : [CGVx카카오프렌즈]포토티켓 앨범 1권과 2016 다이어리 1권 SET(색상랜덤)', '■당첨인원 : 총 8명', '■당첨발표 : 3/15(화) CGV 홈페이지와 모바일앱의 이벤트 당첨자 게시판 확인(※당첨자는 경품 수령을 위한 추가 회신 필요)', '""다이렉트 메시지 수신 설정 해놓으면~ 당첨된 친구들한테는 내가 쪽지도 보내줄께~!+_+""', '---------------------------------------------------', '#CGV #CULTUREPLEX #영화 #카카오프렌즈 #포토티켓 #다이어리']",499,"['#CGV', '#CULTUREPLEX', '#영화', '#카카오프렌즈', '#포토티켓', '#다이어리']",2016,3,2016-03
cgv_korea,3192,2016-03-14,"['cgv_korea', '안녕..? 만나서 반가워(부끄부끄)', '난, 새롭게 CGV 인스타지기가 된 파코니야-', '오늘부터 우리 친구 하자!♥', '-', '친구된 기념으로 (카카오 애들이 모델한-_-)무비 패스카드 4매권!!! 100명한테 쏠게~!', '▶참여하는 방법은 내 프로필(@cgv_korea)에 있는 주소를 따라가서 확인해죵~!', '-', '#CGV #파코니 #만나서반가워 #카카오프렌즈 #무비패스카드 #팔로잉 #소통']",1382,"['#CGV', '#파코니', '#만나서반가워', '#카카오프렌즈', '#무비패스카드', '#팔로잉', '#소통']",2016,3,2016-03
cgv_korea,3191,2016-03-17,"['cgv_korea', '파코니는 팝콘을 아주아주 조아해♥', '친구들은 어떤 메뉴를 가장 좋아하니?', '응답하라 파코니프렌🙋', '그럼, 첫 번째 #미션플레이 주제를 공지할게~!', '#CGV먹방 해시태그와 함께 지금 CGV에서 먹고 있는 매점 메뉴 인증샷을 올려줭!', '파코니 보다 더 예쁘고 맛있는 사진을 찍어준 3명의 친구에게 영화관람권(2매씩)을 쏜다! 쏜다~! 쏜다~!!!💃', '🎊선정작은 3월 중 Regram을 통해 @cgv_korea에서 깜짝 발표할게🎊', '', '#CGV #CGV_MissionPlay #CGV먹방 #파코니 #팝콘 #핫도그 #팝콘아이스크림 #코카콜라 #먹스타그램 #PlayAtCGV #CULTUREPLEX']",268,"['#미션플레이', '#CGV먹방', '#CGV', '#CGV_MissionPlay', '#CGV먹방', '#파코니', '#팝콘', '#핫도그', '#팝콘아이스크림', '#코카콜라', '#먹스타그램', '#PlayAtCGV', '#CULTUREPLEX']",2016,3,2016-03
cgv_korea,3190,2016-03-22,"['cgv_korea', '오늘 하루 어떻게 보냈니?', '파코니는 오늘 CGV □□ □□□□□에 갔었어~', '영화와 관련된 다양한 책들을 볼 수 있어서 파코니가 정말 좋아하는 곳이야!♥ 그럼, 첫 번째 #CGV럭키타임 퀴즈 나간다~!', ""파코니가 좋아하는 'CGV 영화 도서관', 이곳의 이름을 댓글로 가장 빨리 맞추는 파코니프렌 8명에게 CGV영화관람권(2매씩)을 쏠게!"", '이번 퀴즈는 스피드가 생명!!! 서두르라구!! 💃💃💃(단, 한글 표기법이 정확할 것!)', '🎊당첨자에게는 다이렉트 메시지 간다능🎊', '이벤트 종료!! 정답은 : 씨네 라이브러리📚', '', '#CGV #CGV_LuckyTime #CGV럭키타임 #여긴어디 #파코니 #도서관 #독서 #책 #PlayAtCGV #CULTUREPLEX']",227,"['#CGV럭키타임', '#CGV', '#CGV_LuckyTime', '#CGV럭키타임', '#여긴어디', '#파코니', '#도서관', '#독서', '#책', '#PlayAtCGV', '#CULTUREPLEX']",2016,3,2016-03
cgv_korea,3189,2016-03-29,"['cgv_korea', '파코니 캘리그라피 배워쪙~ CGV에서 배워쪙-3-', '파코니프렌들도 CGV에서 영화 보고 문화강좌 듣고', '지덕체를 쌓아보자구~💕', '(메이크업, 캔들 만들기, 수채화 드로잉... 클래스 종류도 엄~청! 많은 건, ""안"" 비밀🙈)', '#CGV #CulturePlayNews #파코니 #캘리그라피 #캘리 #손글씨 #문화강좌특별전 #문화강좌 #여가상자 #PlayAtCGV #CULTUREPLEX']",207,"['#CGV', '#CulturePlayNews', '#파코니', '#캘리그라피', '#캘리', '#손글씨', '#문화강좌특별전', '#문화강좌', '#여가상자', '#PlayAtCGV', '#CULTUREPLEX']",2016,3,2016-03
cgv_korea,3188,2016-03-31,"['cgv_korea', '🎊3월의 #미션플레이 #CGV먹방 당첨작 발표①', '입에 쫙쫙 달라붙는 공감 명언을 남긴 작품!', '"" 1인1닭? ㄴㄴ 이제는 #1인1팝 ""', '', '@deeppurplesky 다이렉트 메시지 확인해주오-3-♥']",170,"['#미션플레이', '#CGV먹방', '#1인1팝']",2016,3,2016-03
cgv_korea,3186,2016-03-31,"['cgv_korea', '🎊3월의 #미션플레이 #CGV먹방 당첨작 발표③', '영화 시작 1분 전! 긴박한 순간에도 쉽게 포기하지 않는 의지와 야무지게 골라 담은 푸짐한 한 상이 압권인 작품!', '@zingzinge92 다이렉트 메시지 확인해주오-3-♥']",202,"['#미션플레이', '#CGV먹방']",2016,3,2016-03
