영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사,rating_mean,grade,genre,running_time,배급사 순위,grade_15세 이상 관람가,grade_전체 관람가,grade_청소년 관람불가,genre_드라마/로맨스/코미디,genre_스릴러/공포/미스터리,genre_애니메이션,genre_액션/어드벤처/SF,nation_미국,nation_미국 외 서구 국가,nation_한국,nation_한국 외 아시아
아담스 패밀리 2,2021-11-10,976276720,111348,750,10058,미국,유니버설픽쳐스인터내셔널 코리아(유),6.617886179,전체 관람가,애니메이션,93분,4,0,1,0,0,0,1,0,1,0,0,0
디어 에반 핸슨,2021-11-17,1080842550,108787,631,12064,미국,유니버설픽쳐스인터내셔널 코리아(유),6.421602787,12세 이상 관람가,다큐멘터리/공연실황/기타,137분,4,0,0,0,0,0,0,0,1,0,0,0
몬스터 헌터,2021-02-10,972706750,102104,668,13300,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,6.12987013,12세 이상 관람가,액션/어드벤처/SF,103분,2,0,0,0,0,0,0,1,1,0,0,0
여고괴담 여섯번째 이야기 : 모교,2021-06-17,860782700,94436,603,13245,한국,(주)케이티알파,3.773584906,15세 이상 관람가,스릴러/공포/미스터리,108분,11,1,0,0,0,1,0,0,0,0,1,0
귀문,2021-08-25,799811070,93657,692,11269,한국,씨제이 씨지브이(CJ CGV)(주),7.191176471,15세 이상 관람가,스릴러/공포/미스터리,85분,6,1,0,0,0,1,0,0,0,0,1,0
어니스트 씨프,2021-02-03,724854260,82388,554,11029,미국,(주)올스타엔터테인먼트,7.982248521,15세 이상 관람가,액션/어드벤처/SF,98분,11,1,0,0,0,0,0,1,1,0,0,0
도라에몽: 스탠바이미 2,2021-05-19,712260330,82311,631,7560,한국 외 아시아,(주)스마일이엔티,8.916666667,전체 관람가,애니메이션,96분,11,0,1,0,0,0,1,0,0,0,0,1
맨 인 더 다크 2,2021-09-01,779007800,78859,248,6997,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,8.965517241,청소년 관람불가,스릴러/공포/미스터리,98분,2,0,0,1,0,1,0,0,1,0,0,0
돈 룩 업,2021-12-08,682183970,70021,656,13128,미국,씨제이 씨지브이(CJ CGV)(주),8.390804598,15세 이상 관람가,드라마/로맨스/코미디,139분,6,1,0,0,1,0,0,0,1,0,0,0
용과 주근깨 공주,2021-09-29,643986900,66360,216,7330,한국 외 아시아,와이드 릴리즈(주),6.654545455,전체 관람가,애니메이션,121분,11,0,1,0,0,0,1,0,0,0,0,1
극장판 도라에몽: 진구의 신공룡,2021-08-05,553442680,64597,502,6029,한국 외 아시아,(주)리틀빅픽쳐스,9.15,전체 관람가,애니메이션,110분,11,0,1,0,0,0,1,0,0,0,0,1
귀멸의 칼날: 남매의 연,2021-11-10,626419340,63656,383,7570,한국 외 아시아,(주)박수엔터테인먼트,6.512953368,15세 이상 관람가,애니메이션,105분,11,1,0,0,0,0,1,0,0,0,0,1
명탐정 코난: 진홍의 수학여행,2021-01-27,534479660,62572,532,8654,한국 외 아시아,(주)씨제이이엔엠,7.543378995,12세 이상 관람가,애니메이션,92분,11,0,0,0,0,0,1,0,0,0,0,1
퍼피 구조대 더 무비,2021-08-18,538180880,61633,355,4771,미국,롯데컬처웍스(주)롯데엔터테인먼트,9.433962264,전체 관람가,애니메이션,86분,3,0,1,0,0,0,1,0,1,0,0,0
라스트 듀얼: 최후의 결투,2021-10-20,583090210,60715,367,7844,미국,월트디즈니컴퍼니코리아 유한책임회사,9.14516129,청소년 관람불가,액션/어드벤처/SF,152분,1,0,0,1,0,0,0,1,1,0,0,0
내가 죽기를 바라는 자들,2021-05-05,511072350,54951,669,10871,미국,워너브러더스 코리아(주),8.40625,15세 이상 관람가,스릴러/공포/미스터리,100분,5,1,0,0,0,1,0,0,1,0,0,0
캔디맨,2021-09-22,509775750,52340,608,8921,미국,유니버설픽쳐스인터내셔널 코리아(유),8.75,청소년 관람불가,드라마/로맨스/코미디,99분,4,0,0,1,1,0,0,0,1,0,0,0
인 더 하이츠,2021-06-30,477937320,52028,649,8776,미국,워너브러더스 코리아(주),8.522807018,12세 이상 관람가,다큐멘터리/공연실황/기타,142분,5,0,0,0,0,0,0,0,1,0,0,0
라스트 나잇 인 소호,2021-12-01,443114840,46096,511,8901,미국,유니버설픽쳐스인터내셔널 코리아(유),8.098591549,청소년 관람불가,스릴러/공포/미스터리,117분,4,0,0,1,0,1,0,0,1,0,0,0
귀멸의 칼날: 나타구모산 편,2021-11-17,418848670,43431,310,5187,한국 외 아시아,(주)박수엔터테인먼트,8.405940594,15세 이상 관람가,애니메이션,137분,11,1,0,0,0,0,1,0,0,0,0,1
말리그넌트,2021-09-15,434889910,41412,489,6823,미국,워너브러더스 코리아(주),8.02962963,청소년 관람불가,스릴러/공포/미스터리,111분,5,0,0,1,0,1,0,0,1,0,0,0
모탈 컴뱃,2021-04-08,417212150,40461,702,10541,미국,워너브러더스 코리아(주),5.949238579,청소년 관람불가,액션/어드벤처/SF,110분,5,0,0,1,0,0,0,1,1,0,0,0
리스타트,2021-03-11,356329620,40059,529,7673,미국,(주)넥스트엔터테인먼트월드(NEW),7.076923077,15세 이상 관람가,액션/어드벤처/SF,100분,8,1,0,0,0,0,0,1,1,0,0,0
건파우더 밀크셰이크,2021-09-08,322240350,37496,542,7867,미국 외 서구 국가,(주)씨제이이엔엠,6.797520661,청소년 관람불가,액션/어드벤처/SF,115분,11,0,0,1,0,0,0,1,0,1,0,0
레미니센스,2021-08-25,343858500,37227,548,7519,미국,워너브러더스 코리아(주),7.677824268,12세 이상 관람가,액션/어드벤처/SF,115분,5,0,0,0,0,0,0,1,1,0,0,0
은혼 더 파이널,2021-07-22,337548850,35126,170,3137,한국 외 아시아,워터홀컴퍼니(주),9.468531469,15세 이상 관람가,애니메이션,104분,9,1,0,0,0,0,1,0,0,0,0,1
뱅드림! 필름 라이브 세컨드 스테이지,2021-11-18,342097500,33922,93,2235,한국 외 아시아,(주)애니플러스,8.892857143,전체 관람가,애니메이션,85분,11,0,1,0,0,0,1,0,0,0,0,1
괴기맨숀,2021-06-30,330369600,32752,131,2804,한국,(주)콘텐츠판다,8.2,15세 이상 관람가,스릴러/공포/미스터리,106분,11,1,0,0,0,1,0,0,0,0,1,0
아야와 마녀,2021-06-10,250337620,30591,362,4367,한국 외 아시아,(주)리틀빅픽쳐스,7.307086614,전체 관람가,애니메이션,83분,11,0,1,0,0,0,1,0,0,0,0,1
몬스타엑스 : 더 드리밍,2021-12-08,486980000,30487,98,2262,한국,씨제이포디플렉스 주식회사,9.917355372,전체 관람가,다큐멘터리/공연실황/기타,88분,11,0,1,0,0,0,0,0,0,0,1,0
신데렐라 2: 마법에 걸린 왕자,2021-12-22,259942550,29852,355,2372,미국,(주)박수엔터테인먼트,4.490566038,전체 관람가,애니메이션,81분,11,0,1,0,0,0,1,0,1,0,0,0
극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,2021-04-28,243514500,29661,195,2888,미국 외 서구 국가,주식회사 컨텐츠썬,8.769230769,전체 관람가,애니메이션,71분,11,0,1,0,0,0,1,0,0,1,0,0
퍼펙트 케어,2021-02-19,228530740,27462,308,3329,미국,TCO(주)더콘텐츠온,6.65060241,15세 이상 관람가,스릴러/공포/미스터리,118분,11,1,0,0,0,1,0,0,1,0,0,0
아이스 로드,2021-07-21,258069720,27037,344,3760,미국,(주)스튜디오 산타클로스엔터테인먼트,8.0,12세 이상 관람가,스릴러/공포/미스터리,110분,11,0,0,0,0,1,0,0,1,0,0,0
귀멸의 칼날: 주합회의·나비저택 편,2021-12-01,252680700,26474,291,3786,한국 외 아시아,(주)박수엔터테인먼트,7.967213115,15세 이상 관람가,애니메이션,106분,11,1,0,0,0,0,1,0,0,0,0,1
마크맨,2021-04-28,198663200,26202,210,4599,미국,(주)디스테이션,5.481012658,15세 이상 관람가,액션/어드벤처/SF,108분,11,1,0,0,0,0,0,1,1,0,0,0
F20,2021-10-06,162965500,23372,218,2538,한국,와이드 릴리즈(주),6.157407407,15세 이상 관람가,스릴러/공포/미스터리,104분,11,1,0,0,0,1,0,0,0,0,1,0
보이저스,2021-05-26,177520500,22000,387,3838,미국,TCO(주)더콘텐츠온,6.111842105,15세 이상 관람가,액션/어드벤처/SF,108분,11,1,0,0,0,0,0,1,1,0,0,0
뱅드림! 로젤리아 에피소드Ⅰ: 약속,2021-06-03,194618190,21498,141,2647,한국 외 아시아,(주)애니플러스,8.517241379,전체 관람가,애니메이션,77분,11,0,1,0,0,0,1,0,0,0,0,1
애프터: 관계의 함정,2021-10-27,167960050,19246,378,3537,미국,판씨네마(주),7.320987654,15세 이상 관람가,드라마/로맨스/코미디,99분,10,1,0,0,1,0,0,0,1,0,0,0
블라인드,2021-01-14,165291800,19142,239,4513,미국 외 서구 국가,주식회사 컨텐츠썬,8.70212766,15세 이상 관람가,드라마/로맨스/코미디,103분,11,1,0,0,1,0,0,0,0,1,0,0
스페이스 잼: 새로운 시대,2021-07-15,165586380,18241,521,3788,미국,워너브러더스 코리아(주),7.805369128,전체 관람가,애니메이션,115분,5,0,1,0,0,0,1,0,1,0,0,0
몬테크리스토: 더 뮤지컬 라이브,2021-03-19,336514000,17362,90,2312,한국,CGV ICECON,9.739130435,12세 이상 관람가,다큐멘터리/공연실황/기타,143분,11,0,0,0,0,0,0,0,0,0,1,0
리스펙트,2021-09-08,107473800,16316,119,1061,미국,유니버설픽쳐스인터내셔널 코리아(유),8.0,12세 이상 관람가,드라마/로맨스/코미디,145분,4,0,0,0,1,0,0,0,1,0,0,0
송가인 더 드라마,2021-02-11,175253000,16251,117,2754,한국,(주)영화특별시에스엠씨,9.975409836,전체 관람가,다큐멘터리/공연실황/기타,83분,11,0,1,0,0,0,0,0,0,0,1,0
뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,2021-09-09,146042240,15698,86,1636,한국 외 아시아,(주)애니플러스,9.0,전체 관람가,애니메이션,71분,11,0,1,0,0,0,1,0,0,0,0,1
브레이브 언더 파이어,2021-03-17,122427400,15435,203,2677,그 외,(주)박수엔터테인먼트,8.571428571,12세 이상 관람가,액션/어드벤처/SF,107분,11,0,0,0,0,0,0,1,0,0,0,0
블랙핑크 더 무비,2021-08-04,200750000,15387,147,1460,한국,씨제이포디플렉스 주식회사,9.427272727,전체 관람가,다큐멘터리/공연실황/기타,99분,11,0,1,0,0,0,0,0,0,0,1,0
더블패티,2021-02-17,132609660,15383,265,2166,한국,(주)케이티알파,9.646687697,15세 이상 관람가,드라마/로맨스/코미디,107분,11,1,0,0,1,0,0,0,0,0,1,0
빅풋 주니어2: 패밀리가 떴다,2021-01-06,121766630,14697,308,3466,그 외,(주)이수C&E,9.263157895,전체 관람가,애니메이션,85분,11,0,1,0,0,0,1,0,0,0,0,0
웨이 다운,2021-03-11,124806030,14513,309,3043,미국 외 서구 국가,(주)누리픽쳐스,7.84375,15세 이상 관람가,액션/어드벤처/SF,118분,11,1,0,0,0,0,0,1,0,1,0,0
"틱, 틱... 붐!",2021-11-12,114036100,12334,108,940,미국,씨제이 씨지브이(CJ CGV)(주),8.586206897,12세 이상 관람가,드라마/로맨스/코미디,120분,6,0,0,0,1,0,0,0,1,0,0,0
화이트데이: 부서진 결계,2021-10-06,103168580,11119,356,2934,한국,(주)제이앤씨미디어그룹,5.306878307,15세 이상 관람가,애니메이션,105분,11,1,0,0,0,0,1,0,0,0,1,0
토이 솔져스: 가짜사나이2 더 컴플리트,2021-01-27,108309800,11116,155,2893,한국,씨제이포디플렉스 주식회사,8.214285714,15세 이상 관람가,다큐멘터리/공연실황/기타,112분,11,1,0,0,0,0,0,0,0,0,1,0
킬링 카인드: 킬러의 수제자,2021-12-01,90503170,10658,129,1436,미국,(주)제이앤씨미디어그룹,6.425287356,15세 이상 관람가,액션/어드벤처/SF,108분,11,1,0,0,0,0,0,1,1,0,0,0
매직 스쿨: 초보마법사 아우라의 대모험,2021-10-07,81358690,9929,212,1093,미국,(주)디스테이션,6.175,전체 관람가,애니메이션,90분,11,0,1,0,0,0,1,0,1,0,0,0
잃어버린 얼굴 1895,2021-02-24,135487000,9558,63,1126,한국,(재)서울예술단,6.722222222,전체 관람가,다큐멘터리/공연실황/기타,148분,11,0,1,0,0,0,0,0,0,0,1,0
유다 그리고 블랙 메시아,2021-04-22,75381330,8841,154,2032,미국,워너브러더스 코리아(주),7.333333333,15세 이상 관람가,드라마/로맨스/코미디,125분,5,1,0,0,1,0,0,0,1,0,0,0
다크 앤드 위키드,2021-06-30,60105000,7046,164,1576,미국,와이드 릴리즈(주),6.443181818,15세 이상 관람가,스릴러/공포/미스터리,94분,11,1,0,0,0,1,0,0,1,0,0,0
매직아치,2021-07-01,52885610,6633,182,848,그 외,(주)영화사 빅,8.838709677,전체 관람가,애니메이션,84분,11,0,1,0,0,0,1,0,0,0,0,0
후겟츠 웨슬리,2021-11-18,49034670,6476,89,600,미국,(주)영화특별시에스엠씨,8.615384615,12세 이상 관람가,드라마/로맨스/코미디,96분,11,0,0,0,1,0,0,0,1,0,0,0
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,2021-02-25,62166830,6306,91,1233,한국 외 아시아,(주)애니플러스,3.973684211,15세 이상 관람가,애니메이션,89분,11,1,0,0,0,0,1,0,0,0,0,1
상견니 대만판 12화,2021-08-31,46527880,6295,99,975,그 외,오드,8.456140351,12세 이상 관람가,드라마/로맨스/코미디,72분,11,0,0,0,1,0,0,0,0,0,0,0
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,2021-08-26,59586480,5694,44,546,한국 외 아시아,(주)애니플러스,9.083333333,15세 이상 관람가,애니메이션,96분,11,1,0,0,0,0,1,0,0,0,0,1
코스믹 씬,2021-04-22,34748810,5463,53,356,미국,(주)제이앤씨미디어그룹,3.6,12세 이상 관람가,액션/어드벤처/SF,88분,11,0,0,0,0,0,0,1,1,0,0,0
다이노 마이 프렌드,2021-08-26,45224980,5460,185,977,한국 외 아시아,(주)박수엔터테인먼트,5.461538462,전체 관람가,애니메이션,74분,11,0,1,0,0,0,1,0,0,0,0,1
노아의 방주 2: 새로운 세계로,2021-12-09,45253950,5391,167,804,미국 외 서구 국가,(주)대교 미디어콘텐츠사업본부,7.625,전체 관람가,애니메이션,86분,11,0,1,0,0,0,1,0,0,1,0,0
